name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate,breakdown,exit_mode,add_after_dd,target_dd,score
br=swing_low|ex=macd_or_vol|add=0.05|tgt=None,19,0.21052631578947367,-0.02241080775523423,-0.020642573792066177,-0.4258053473494504,0.12194543369308111,0.014784109024612626,-0.03232945222986006,0.0175693603357968,-0.06986379136327589,11.105263157894736,0.10526315789473684,swing_low,macd_or_vol,0.05,,-0.40475271577050304
br=both|ex=macd_or_vol|add=0.05|tgt=None,19,0.21052631578947367,-0.02241080775523423,-0.020642573792066177,-0.4258053473494504,0.12194543369308111,0.014784109024612626,-0.03232945222986006,0.0175693603357968,-0.06986379136327589,11.105263157894736,0.10526315789473684,both,macd_or_vol,0.05,,-0.40475271577050304
br=both|ex=macd_cross_up|add=0.03|tgt=None,19,0.15789473684210525,-0.022532481006106136,-0.020642573792066177,-0.42811713911601657,0.10510004409347573,0.01675983626299561,-0.02989979049406271,0.02605803161788242,-0.08748364953653384,11.631578947368421,0.21052631578947367,both,macd_cross_up,0.03,,-0.41232766543180605
br=both|ex=hist_turn_up|add=0.03|tgt=None,19,0.15789473684210525,-0.022532481006106136,-0.020642573792066177,-0.42811713911601657,0.10510004409347573,0.01675983626299561,-0.02989979049406271,0.02605803161788242,-0.08748364953653384,11.631578947368421,0.21052631578947367,both,hist_turn_up,0.03,,-0.41232766543180605
br=swing_low|ex=macd_cross_up|add=0.03|tgt=None,19,0.15789473684210525,-0.022532481006106136,-0.020642573792066177,-0.42811713911601657,0.10510004409347573,0.01675983626299561,-0.02989979049406271,0.02605803161788242,-0.08748364953653384,11.631578947368421,0.21052631578947367,swing_low,macd_cross_up,0.03,,-0.41232766543180605
br=swing_low|ex=hist_turn_up|add=0.03|tgt=None,19,0.15789473684210525,-0.022532481006106136,-0.020642573792066177,-0.42811713911601657,0.10510004409347573,0.01675983626299561,-0.02989979049406271,0.02605803161788242,-0.08748364953653384,11.631578947368421,0.21052631578947367,swing_low,hist_turn_up,0.03,,-0.41232766543180605
br=ma20|ex=macd_or_target|add=0.03|tgt=0.05,35,0.2571428571428571,-0.012611464249135123,-0.019512958660083263,-0.4414012487197293,0.3548523439871462,0.026976127314459235,-0.026314861328840863,0.04423067062389492,-0.05403053636733035,12.371428571428572,0.22857142857142856,ma20,macd_or_target,0.03,0.05,-0.4156869630054436
br=ma20|ex=macd_or_vol|add=0.03|tgt=None,35,0.2857142857142857,-0.012706874223595687,-0.019512958660083263,-0.44474059782584907,0.3382883561900279,0.022736575240420377,-0.026884254009202115,0.06813856211930445,-0.05403053636733035,12.885714285714286,0.2,ma20,macd_or_vol,0.03,,-0.4161691692544205
br=ma20|ex=macd_or_vol|add=0.05|tgt=None,35,0.2857142857142857,-0.01305793390564833,-0.018982781456953642,-0.45702768669769156,0.29863444798487154,0.019459782496963,-0.026065020466692856,0.06441456269217628,-0.05403053636733035,12.885714285714286,0.14285714285714285,ma20,macd_or_vol,0.05,,-0.428456258126263
br=ma20|ex=macd_or_target|add=0.05|tgt=0.05,35,0.2571428571428571,-0.01316339371092572,-0.018982781456953642,-0.4607187798824002,0.2917321530689989,0.021085319032091564,-0.025018717352739393,0.031873248552089874,-0.05403053636733035,12.371428571428572,0.17142857142857143,ma20,macd_or_target,0.05,0.05,-0.4350044941681145
br=swing_low|ex=macd_cross_up|add=0.05|tgt=None,19,0.15789473684210525,-0.023835474174804284,-0.020642573792066177,-0.4528740093212814,0.08448313595531659,0.013930279168967072,-0.030916552926761418,0.0175693603357968,-0.06986379136327589,11.631578947368421,0.10526315789473684,swing_low,macd_cross_up,0.05,,-0.4370845356370709
br=swing_low|ex=hist_turn_up|add=0.05|tgt=None,19,0.15789473684210525,-0.023835474174804284,-0.020642573792066177,-0.4528740093212814,0.08448313595531659,0.013930279168967072,-0.030916552926761418,0.0175693603357968,-0.06986379136327589,11.631578947368421,0.10526315789473684,swing_low,hist_turn_up,0.05,,-0.4370845356370709
br=both|ex=macd_cross_up|add=0.05|tgt=None,19,0.15789473684210525,-0.023835474174804284,-0.020642573792066177,-0.4528740093212814,0.08448313595531659,0.013930279168967072,-0.030916552926761418,0.0175693603357968,-0.06986379136327589,11.631578947368421,0.10526315789473684,both,macd_cross_up,0.05,,-0.4370845356370709
