date,S0_always_short,S1_below_ma20,S2_below_ma60,S3_below_ma60_down,S4_below_ma120_down,S5_death_cross,S6_break_ll20,S7_ma60_down_and_ll20,S8_ret60_neg_ma60,S9_rsi_overbought_short,S10_vol_expand_ma60
2016-12-09,0.8901837319442714,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9594974112544468,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.993797588560327,0.9895641354627259
2016-12-12,0.8935017756735629,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9630738126808477,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9975018394229053,0.9895641354627259
2016-12-13,0.8913050315965462,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.960706020303332,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9973522141469918,0.9895641354627259
2016-12-14,0.8920653685823398,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9973522141469918,0.9895641354627259
2016-12-15,0.8922557774123466,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.9974154933242927,0.9895641354627259
2016-12-16,0.897589501103112,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.997265881000294,0.9895641354627259
2016-12-19,0.9039512823609304,0.9349800159198892,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.997265881000294,0.9895641354627259
2016-12-20,0.9025825479943878,0.9334240518265561,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.997265881000294,0.9895641354627259
2016-12-21,0.9053117392842195,0.9362465003633965,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.997265881000294,0.9895641354627259
2016-12-22,0.913272899948862,0.944479696165094,0.8968364316199247,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9533264141996612,0.997265881000294,0.9895641354627259
2016-12-23,0.9172740955674771,0.9486176137824658,0.9006310909596501,0.9617865970538704,1.0,0.9605619144002865,0.9719295218840296,0.9719295218840296,0.9573600917510019,0.997265881000294,0.9895641354627259
2016-12-26,0.91394405759677,0.9451737874618032,0.8973614731376843,0.9581506945535556,1.0,0.9605619144002865,0.9682552754456069,0.9682552754456069,0.9538845270614768,0.997265881000294,0.9895641354627259
2016-12-27,0.9149458596987066,0.94620982142811,0.8983450985603936,0.9592009529055818,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9549301091365194,0.997265881000294,0.9895641354627259
2016-12-28,0.9051066526043937,0.9360344058130596,0.8886844138617304,0.9488858323761462,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9446609166976543,0.997265881000294,0.9895641354627259
2016-12-29,0.9077597716599055,0.9387781827055743,0.8885511111996511,0.9487434995012898,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9445192175601497,0.997265881000294,0.9895641354627259
2016-12-30,0.9000501394528635,0.9308051101608187,0.8808713360815803,0.9405434796835618,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9363557083437076,0.997265881000294,0.9895641354627259
