strategy,param,fee_profile,n,win_rate,avg_pnl,total_pnl,median_pnl,profit_factor
vwap_revert,z=0.0005,vip_1折,396,0.7095959595959596,-6.446892827668243e-05,-0.02552969559756624,0.0003097071067498073,0.7992388337651167
vwap_revert,z=0.0010,vip_1折,145,0.6206896551724138,-5.495670184973192e-05,-0.007968721768211128,0.00031308612440179487,0.8715127289661545
vwap_revert,z=0.0015,vip_1折,64,0.65625,5.9339569608431415e-05,0.0037977324549396106,0.0003215224476763827,1.1406141050717846
vwap_revert,z=0.0020,vip_1折,23,0.5217391304347826,-0.0001278138367696492,-0.0029397182457019315,1.7846759539612593e-05,0.6962224326629393
orb,orb=5m,vip_1折,369,0.22764227642276422,-0.0003947116319732482,-0.1456485921981286,-0.0005927870113882769,0.41124169444405
orb,orb=10m,vip_1折,207,0.33816425120772947,-0.00029104905631086806,-0.060247154656349694,-0.0005929765937788115,0.5882087936215381
orb,orb=15m,vip_1折,158,0.4240506329113924,-0.00021554340956528393,-0.03405585871131486,-0.00028500000000000004,0.693106796709944
orb,orb=30m,vip_1折,126,0.46825396825396826,-0.00021454738618262293,-0.02703297065901049,-0.00028500000000000004,0.6704744810549531
mean_revert_band,"lb=10,band=2tick",vip_1折,70,0.5285714285714286,-0.00017319249470367312,-0.012123474629257119,1.6250741896254217e-05,0.7093246257360177
mean_revert_band,"lb=10,band=3tick",vip_1折,20,0.45,-0.000335566095412251,-0.00671132190824502,-0.0004435288522510782,0.6018192040692517
mean_revert_band,"lb=10,band=4tick",vip_1折,6,0.5,-0.00018153932674424533,-0.001089235960465472,-0.00043742171066665694,0.7970373492932736
mean_revert_band,"lb=20,band=2tick",vip_1折,103,0.5339805825242718,-0.0001053409458393384,-0.010850117421451855,1.620481927704846e-05,0.7556819876648507
mean_revert_band,"lb=20,band=3tick",vip_1折,37,0.5135135135135135,-9.416953932200736e-06,-0.00034842729549142723,0.0003227180188393536,0.9825469538853054
mean_revert_band,"lb=20,band=4tick",vip_1折,11,0.5454545454545454,-0.00033735153509083303,-0.0037108668859991635,2.1560392397459093e-05,0.6008576383715308
mean_revert_band,"lb=30,band=2tick",vip_1折,107,0.5607476635514018,-3.56939753740171e-05,-0.0038192553650198296,1.6568154403049328e-05,0.9133514539402248
mean_revert_band,"lb=30,band=3tick",vip_1折,43,0.5116279069767442,-9.362533790915755e-06,-0.00040258895300937747,1.839805825236678e-05,0.981992899440995
mean_revert_band,"lb=30,band=4tick",vip_1折,18,0.4444444444444444,-8.495777184404771e-05,-0.0015292398931928588,-0.00028500000000000004,0.8494586670237371
mm_spread,spread=1tick,vip_05折,1215,0.9234567901234568,7.053857944475976e-05,0.08570437402538311,0.00016025507114738146,1.641100765246655
mm_spread,spread=2tick,vip_05折,361,0.7368421052631579,5.88952213782434e-05,0.021261174917545866,0.0004626437216339826,1.156218726265039
mm_spread,spread=3tick,vip_05折,273,0.6776556776556777,4.5730575365888184e-05,0.012484447074887474,0.000755434750074862,1.096534055976382
mm_spread,spread=4tick,vip_05折,224,0.6116071428571429,3.985191802737035e-05,0.008926829638130959,0.0007733912372515165,1.0724646466188066
mm_spread,spread=5tick,vip_05折,201,0.572139303482587,5.427684241647346e-05,0.010909645325711165,0.0004554073243646044,1.0888932138836602
vwap_revert,z=0.0005,vip_05折,396,0.7095959595959596,4.420531414756e-05,0.01750530440243376,0.0004520303735829739,1.1460028420123527
vwap_revert,z=0.0010,vip_05折,145,0.6206896551724138,2.2681229184750833e-05,0.003288778231788871,0.00045256099375195254,1.054147816484591
vwap_revert,z=0.0015,vip_05折,64,0.65625,0.00011277706960843145,0.007217732454939613,0.00044655455930734956,1.2672423615515187
vwap_revert,z=0.0020,vip_05折,23,0.5217391304347826,-0.0001464007932913883,-0.0033672182457019305,0.00014250000000000002,0.6667673376236661
orb,orb=5m,vip_05折,369,0.22764227642276422,-0.00025221163197324827,-0.09306609219812861,-0.0004502870113882769,0.5499055816624875
orb,orb=10m,vip_05折,207,0.33816425120772947,-0.00014854905631086801,-0.03074965465634968,-0.0004504765937788116,0.7574615597814092
orb,orb=15m,vip_05折,158,0.4240506329113924,-7.304340956528393e-05,-0.011540858711314862,-0.00014250000000000002,0.8822388262430354
orb,orb=30m,vip_05折,126,0.46825396825396826,-7.204738618262289e-05,-0.009077970659010485,-0.00014250000000000002,0.8747668266360559
mean_revert_band,"lb=10,band=2tick",vip_05折,70,0.5285714285714286,-3.069249470367311e-05,-0.002148474629257118,0.00015875074189625424,0.941941673489044
mean_revert_band,"lb=10,band=3tick",vip_05折,20,0.45,-0.00019306609541225087,-0.0038613219082450174,-0.0003010288522510782,0.7474190232812445
mean_revert_band,"lb=10,band=4tick",vip_05折,6,0.5,-3.903932674424522e-05,-0.00023423596046547133,-0.00029492171066665694,0.9525759587945686
mean_revert_band,"lb=20,band=2tick",vip_05折,103,0.5339805825242718,3.715905416066161e-05,0.0038273825785481454,0.00015870481927704848,1.1018738768550087
mean_revert_band,"lb=20,band=3tick",vip_05折,37,0.5135135135135135,0.0001330830460677993,0.004924072704508574,0.00046521801883935357,1.28301390458414
mean_revert_band,"lb=20,band=4tick",vip_05折,11,0.5454545454545454,-0.00019485153509083298,-0.0021433668859991628,0.00016406039239745911,0.7503242301966875
mean_revert_band,"lb=30,band=2tick",vip_05折,107,0.5607476635514018,0.00010680602462598294,0.011428244634980175,0.00015906815440304935,1.3057311464139898
mean_revert_band,"lb=30,band=3tick",vip_05折,43,0.5116279069767442,0.0001331374662090843,0.005724911046990625,0.0001608980582523668,1.2956359315788706
mean_revert_band,"lb=30,band=4tick",vip_05折,18,0.4444444444444444,5.75422281559523e-05,0.0010357601068071414,-0.00014250000000000002,1.1185993107036671
mm_spread,spread=1tick,vip_0手續+全退,1215,0.9234567901234568,0.0002130385794447598,0.25884187402538317,0.0003027550711473815,3.149302189636322
mm_spread,spread=2tick,vip_0手續+全退,361,0.7368421052631579,0.0002013952213782434,0.07270367491754587,0.0006051437216339826,1.5932027377814373
mm_spread,spread=3tick,vip_0手續+全退,273,0.6776556776556777,0.0001882305753658882,0.05138694707488748,0.000897934750074862,1.4400062107722418
mm_spread,spread=4tick,vip_0手續+全退,224,0.6116071428571429,0.00018235191802737038,0.040846829638130966,0.0009158912372515166,1.368682793930132
mm_spread,spread=5tick,vip_0手續+全退,201,0.572139303482587,0.0001967768424164735,0.03955214532571118,0.0005979073243646045,1.3580269438648602
vwap_revert,z=0.0005,vip_0手續+全退,396,0.6818181818181818,0.00015287955657180248,0.06054030440243378,0.0005942653525907668,1.5375172429454762
vwap_revert,z=0.0010,vip_0手續+全退,145,0.593103448275862,0.00010031916021923365,0.014546278231788879,0.0005948839976205571,1.2446621842007604
vwap_revert,z=0.0015,vip_0手續+全退,64,0.578125,0.0001662145696084315,0.010637732454939616,0.000448209506496254,1.393870618031253
vwap_revert,z=0.0020,vip_0手續+全退,23,0.391304347826087,-0.00016498774981312753,-0.003794718245701933,0.0,0.639703394551079
orb,orb=5m,vip_0手續+全退,369,0.22764227642276422,-0.00010971163197324826,-0.04048359219812861,-0.0003077870113882769,0.7563543344443501
orb,orb=10m,vip_0手續+全退,207,0.33816425120772947,-6.049056310868042e-06,-0.0012521546563496848,-0.00030797659377881155,0.9883259979507218
orb,orb=15m,vip_0手續+全退,158,0.4240506329113924,6.945659043471609e-05,0.010974141288685142,0.0,1.1290548004304382
orb,orb=30m,vip_0手續+全退,126,0.46825396825396826,7.045261381737705e-05,0.008877029340989509,0.0,1.1410372069241221
mean_revert_band,"lb=10,band=2tick",vip_0手續+全退,70,0.5285714285714286,0.00011180750529632691,0.007826525370742883,0.00030125074189625426,1.2422851419534358
mean_revert_band,"lb=10,band=3tick",vip_0手續+全退,20,0.45,-5.0566095412250885e-05,-0.0010113219082450177,-0.00015852885225107818,0.9262882827668509
mean_revert_band,"lb=10,band=4tick",vip_0手續+全退,6,0.5,0.00010346067325575491,0.0006207640395345295,-0.0001524217106666569,1.1375903862896826
mean_revert_band,"lb=20,band=2tick",vip_0手續+全退,103,0.5339805825242718,0.00017965905416066167,0.01850488257854815,0.0003012048192770485,1.6021801086828629
mean_revert_band,"lb=20,band=3tick",vip_0手續+全退,37,0.5135135135135135,0.0002755830460677994,0.010196572704508577,0.0006077180188393536,1.687392619758622
mean_revert_band,"lb=20,band=4tick",vip_0手續+全退,11,0.5454545454545454,-5.235153509083299e-05,-0.0005758668859991629,0.00030656039239745914,0.9268471175232023
mean_revert_band,"lb=30,band=2tick",vip_0手續+全退,107,0.5607476635514018,0.000249306024625983,0.026675744634980177,0.00030156815440304937,1.8694110237645822
mean_revert_band,"lb=30,band=3tick",vip_0手續+全退,43,0.5116279069767442,0.0002756374662090843,0.011852411046990625,0.0003033980582523668,1.7239336649216346
mean_revert_band,"lb=30,band=4tick",vip_0手續+全退,18,0.4444444444444444,0.00020004222815595243,0.0036007601068071436,0.0,1.4926964714403985
