symbol,strategy,params,round_trip_cost_pct,n,win_rate,avg_pnl,total_pnl,pf
2337,gap_go,"(0.008,)",0.17850000000000002,205,0.21951219512195122,-0.0037818965870722882,-0.7752888003498191,0.6379618605097055
2344,orb,"(5, False)",0.17850000000000002,919,0.4134929270946681,-0.0017908248030205952,-1.645767993975927,0.7981031279269138
2344,orb,"(10, False)",0.17850000000000002,796,0.43090452261306533,-0.001787774453686063,-1.4230684651341061,0.7952570602862572
2344,orb,"(15, False)",0.17850000000000002,718,0.4428969359331476,-0.0018044550757361246,-1.2955987443785375,0.7871835716397966
2344,orb,"(30, False)",0.17850000000000002,579,0.44041450777202074,-0.002162652097829422,-1.2521755646432353,0.7315752671903873
2344,orb_long_only,"(5, True)",0.17850000000000002,408,0.36519607843137253,-0.002856909255016215,-1.1656189760466158,0.7149614813382814
2344,orb_long_only,"(10, True)",0.17850000000000002,344,0.3633720930232558,-0.0031327689119555486,-1.0776725057127088,0.6921948327424863
2344,orb_long_only,"(15, True)",0.17850000000000002,299,0.38461538461538464,-0.0032112022580207226,-0.960149475148196,0.6786235687510649
2344,orb_long_only,"(30, True)",0.17850000000000002,239,0.38493723849372385,-0.0035781967847785296,-0.8551890315620686,0.6249430667118724
2344,orb_vwap_long,"(10,)",0.17850000000000002,344,0.3633720930232558,-0.0031921579005712774,-1.0981023177965195,0.6871198944433464
2344,orb_vwap_long,"(15,)",0.17850000000000002,299,0.38461538461538464,-0.003231595199411919,-0.9662469646241638,0.6772413724846501
2344,orb_vwap_long,"(30,)",0.17850000000000002,239,0.38493723849372385,-0.0035781967847785296,-0.8551890315620686,0.6249430667118724
2344,vwap_pullback,"(None,)",0.17850000000000002,609,0.6748768472906403,-0.0016548271799053064,-1.0077897525623316,0.6373029011114895
2344,momentum,"(15,)",0.17850000000000002,1020,0.35980392156862745,-0.0021802466450400403,-2.223851577940841,0.7192832375630022
2344,momentum,"(30,)",0.17850000000000002,849,0.3839811542991755,-0.002448853817079929,-2.0790768907008594,0.6736047526041943
2344,momentum,"(60,)",0.17850000000000002,658,0.4012158054711246,-0.002638760217163106,-1.7363042228933239,0.6137128595909979
2344,rsi_revert,"(25, 75)",0.17850000000000002,2974,0.6308002689979825,-0.0003546822176821007,-1.0548249153865674,0.8517863076358102
2344,rsi_revert,"(30, 70)",0.17850000000000002,3836,0.6251303441084463,-0.00044223311071517996,-1.6964062127034303,0.8160331554917198
2344,gap_go,"(0.005,)",0.17850000000000002,300,0.23333333333333334,-0.002774362522757925,-0.8323087568273775,0.7026726326053091
2344,gap_go,"(0.008,)",0.17850000000000002,233,0.2446351931330472,-0.0019447255127563797,-0.45312104447223644,0.7905272936905275
2408,orb,"(5, False)",0.17850000000000002,901,0.44950055493895674,0.0006134835636588946,0.552748690856664,1.071941944454591
2408,orb,"(10, False)",0.17850000000000002,774,0.4754521963824289,0.0010264427004672257,0.7944666501616328,1.1251040226575995
2408,orb,"(15, False)",0.17850000000000002,707,0.4837340876944837,0.0013941130969925754,0.9856379595737508,1.1789340761730174
2408,orb,"(30, False)",0.17850000000000002,593,0.48903878583473864,0.0007301058394301051,0.4329527627820523,1.1005357245258682
2408,orb_long_only,"(5, True)",0.17850000000000002,420,0.37857142857142856,-0.00129105365938875,-0.5422425369432751,0.8660018228275426
2408,orb_long_only,"(10, True)",0.17850000000000002,350,0.4,-0.0008639362781243891,-0.3023776973435362,0.9078308421295491
2408,orb_long_only,"(15, True)",0.17850000000000002,310,0.4129032258064516,-0.0001629383970468507,-0.05051090308452372,0.981592570678479
2408,orb_long_only,"(30, True)",0.17850000000000002,246,0.44715447154471544,-0.0008163888122199284,-0.20083164780610238,0.9038879075274749
2408,orb_vwap_long,"(10,)",0.17850000000000002,350,0.4,-0.0008639362781243891,-0.3023776973435362,0.9078308421295491
2408,orb_vwap_long,"(15,)",0.17850000000000002,310,0.4129032258064516,-0.0001629383970468507,-0.05051090308452372,0.981592570678479
2408,orb_vwap_long,"(30,)",0.17850000000000002,246,0.44715447154471544,-0.0008163888122199284,-0.20083164780610238,0.9038879075274749
2408,vwap_pullback,"(None,)",0.17850000000000002,587,0.6848381601362862,-0.0018587125407907529,-1.091064261444172,0.5870386684131197
2408,momentum,"(15,)",0.17850000000000002,1029,0.3965014577259475,-0.0002020579383492877,-0.20791761856141705,0.9739974376803318
2408,momentum,"(30,)",0.17850000000000002,826,0.463680387409201,0.00022704399330072028,0.18753833846639495,1.0325811666265114
2408,momentum,"(60,)",0.17850000000000002,693,0.4401154401154401,-0.0009135313848083364,-0.6330772496721772,0.8576232658409273
2408,rsi_revert,"(25, 75)",0.17850000000000002,3416,0.47043325526932084,-0.0013654387331030887,-4.664338712280151,0.5450325376253196
2408,rsi_revert,"(30, 70)",0.17850000000000002,4572,0.4726596675415573,-0.001310799764671639,-5.992976524078734,0.5436369762004599
2408,gap_go,"(0.005,)",0.17850000000000002,324,0.24382716049382716,-0.0018504468526662203,-0.5995447802638554,0.802081011819338
2408,gap_go,"(0.008,)",0.17850000000000002,258,0.2596899224806202,-0.0006862852453148592,-0.17706159329123367,0.9270394295233728
2409,orb,"(5, False)",0.17850000000000002,851,0.3772032902467685,-0.0028218296291124293,-2.4013770143746775,0.6384989023156958
2409,orb,"(10, False)",0.17850000000000002,732,0.38524590163934425,-0.0028433429674438,-2.0813270521688616,0.6237557713780445
2409,orb,"(15, False)",0.17850000000000002,665,0.3804511278195489,-0.0026817529866985396,-1.7833657361545288,0.621006775784676
2409,orb,"(30, False)",0.17850000000000002,547,0.376599634369287,-0.0032151084283022066,-1.758664310281307,0.5310862912742706
2409,orb_long_only,"(5, True)",0.17850000000000002,379,0.31398416886543534,-0.004004958334471123,-1.5178792087645556,0.5516239481003085
2409,orb_long_only,"(10, True)",0.17850000000000002,311,0.3311897106109325,-0.003932652643377993,-1.223054972090556,0.5479779350136894
2409,orb_long_only,"(15, True)",0.17850000000000002,274,0.33211678832116787,-0.0037850847249574614,-1.0371132146383444,0.5334863594708081
2409,orb_long_only,"(30, True)",0.17850000000000002,220,0.3409090909090909,-0.004863268752148469,-1.0699191254726632,0.41575681922855856
2409,orb_vwap_long,"(10,)",0.17850000000000002,311,0.3311897106109325,-0.003932652643377993,-1.223054972090556,0.5479779350136894
2409,orb_vwap_long,"(15,)",0.17850000000000002,274,0.33211678832116787,-0.0037850847249574614,-1.0371132146383444,0.5334863594708081
2409,orb_vwap_long,"(30,)",0.17850000000000002,220,0.3409090909090909,-0.004863268752148469,-1.0699191254726632,0.41575681922855856
2409,vwap_pullback,"(None,)",0.17850000000000002,536,0.6511194029850746,-0.0011207520904777505,-0.6007231204960743,0.7069745613372242
2409,momentum,"(15,)",0.17850000000000002,1003,0.292123629112662,-0.0034458409430583544,-3.4561784658875294,0.5125575016693834
2409,momentum,"(30,)",0.17850000000000002,792,0.33080808080808083,-0.0032872712938152608,-2.6035188647016865,0.5057457530303519
2409,momentum,"(60,)",0.17850000000000002,569,0.3251318101933216,-0.0024423403279545874,-1.3896916466061602,0.5608591830864484
2409,rsi_revert,"(25, 75)",0.17850000000000002,2615,0.6841300191204589,0.0002871075578476628,0.7507862637716382,1.169070231052572
2409,rsi_revert,"(30, 70)",0.17850000000000002,3328,0.6911057692307693,0.00027275904074982926,0.9077420876154318,1.157553343612751
2409,gap_go,"(0.005,)",0.17850000000000002,257,0.27626459143968873,-0.0025425687578771706,-0.6534401707744328,0.7032397898720609
2409,gap_go,"(0.008,)",0.17850000000000002,174,0.28160919540229884,-0.001754026370531114,-0.3052005884724138,0.7977367474608543
2454,orb,"(5, False)",0.17850000000000002,70,0.5571428571428572,0.0031544115587816873,0.22080880911471812,1.4257479125104293
2454,orb,"(10, False)",0.17850000000000002,59,0.5932203389830508,0.003945112673276158,0.2327616477232933,1.6382511914200923
2454,orb,"(15, False)",0.17850000000000002,59,0.5423728813559322,0.0014286445454703763,0.0842900281827522,1.207526187067903
2454,orb,"(30, False)",0.17850000000000002,48,0.5208333333333334,0.0023506998410917092,0.11283359237240204,1.4121251515048447
2454,orb_long_only,"(5, True)",0.17850000000000002,31,0.45161290322580644,1.9032581428747e-05,0.000590010024291157,1.002194474719106
2454,orb_long_only,"(10, True)",0.17850000000000002,24,0.4166666666666667,0.0005978775544370456,0.014349061306489094,1.0708614458501082
2454,orb_long_only,"(15, True)",0.17850000000000002,24,0.375,-0.0009270383523767613,-0.02224892045704227,0.899996658941525
2454,orb_long_only,"(30, True)",0.17850000000000002,16,0.4375,0.0033762922369037895,0.05402067579046063,1.6144711949932202
2454,orb_vwap_long,"(10,)",0.17850000000000002,24,0.4166666666666667,0.0005978775544370456,0.014349061306489094,1.0708614458501082
2454,orb_vwap_long,"(15,)",0.17850000000000002,24,0.375,-0.0009270383523767613,-0.02224892045704227,0.899996658941525
2454,orb_vwap_long,"(30,)",0.17850000000000002,16,0.4375,0.0033762922369037895,0.05402067579046063,1.6144711949932202
2454,vwap_pullback,"(None,)",0.17850000000000002,55,0.6727272727272727,-0.0037557008550848712,-0.20656354702966792,0.34580521258552693
2454,momentum,"(15,)",0.17850000000000002,88,0.4318181818181818,-0.00013206205466249804,-0.011621460810299827,0.980974061458107
